Open,High,Low,Ltp,per_change,Qty,Turnover
867.0,874.0,860.0,868.9,0.22,16920.0,14698672.3
875.9,900.0,869.0,870.0,0.13,19150.0,16772332.6
870.0,876.0,860.1,867.9,-0.24,23071.0,20013153.3
882.0,882.0,864.6,875.0,0.82,24999.0,21740095.0
875.0,910.0,873.9,878.0,0.34,22068.0,19437362.3
895.0,912.9,880.0,883.7,0.65,35024.0,31062828.8
900.0,919.3,866.0,878.0,-0.65,22328.0,19637534.7
877.8,889.0,865.0,869.0,-1.03,10944.0,9533120.5
869.5,871.0,851.7,865.0,-0.46,16378.0,14167838.0
870.0,951.5,865.1,951.5,10.0,30479.0,26914054.6
932.5,932.5,880.0,903.0,-5.1,81720.0,73593735.2
903.0,903.0,888.0,890.0,-1.44,27937.0,24913323.0
907.0,907.0,877.0,887.0,-0.34,18842.0,16694219.7
898.9,898.9,880.0,881.0,-0.68,19935.0,17690775.2
878.0,890.0,864.0,880.0,-0.11,16664.0,14647655.2
880.0,880.0,865.0,865.0,-1.7,51665.0,44982847.4
868.0,941.6,860.0,877.0,1.39,24753.0,21671085.5
885.0,885.0,860.0,867.0,-1.14,22439.0,19443517.2
860.0,870.0,853.0,860.0,-0.81,26000.0,22388381.7
860.0,874.0,855.0,859.0,-0.12,17433.0,15016892.4
869.0,869.0,848.0,855.0,-0.47,17903.0,15296541.5
872.1,872.1,846.0,847.0,-0.94,27725.0,23654372.9
847.0,850.0,834.1,834.1,-1.52,28333.0,23811530.1
835.0,849.0,834.0,845.0,1.31,15091.0,12650909.6
854.9,854.9,838.0,843.9,-0.13,8580.0,7221422.4
844.0,850.0,837.0,843.0,-0.11,15047.0,12682471.2
850.0,850.0,835.0,836.0,-0.83,19878.0,16680386.4
840.0,846.0,825.2,831.0,-0.6,23122.0,19219307.6
847.6,881.2,847.6,880.0,5.9,1405.0,1231228.0
880.0,880.0,840.0,840.0,-4.55,29705.0,25327249.8
856.8,856.8,837.1,845.0,0.6,14915.0,12584435.8
859.0,865.0,845.0,855.0,1.18,13007.0,11128791.6
869.9,872.0,856.0,859.9,0.57,10552.0,9067195.5
877.0,877.0,859.0,868.0,0.94,24704.0,21384289.7
885.3,885.3,856.0,866.0,-0.23,18601.0,16165487.5
860.0,872.9,855.0,865.0,-0.12,15738.0,13561766.9
865.0,874.0,855.1,859.0,-0.69,7075.0,6100994.7
855.0,875.0,848.0,869.0,1.16,33901.0,29485119.5
858.0,875.0,858.0,865.0,-0.46,13044.0,11305608.1
860.0,875.0,858.2,858.2,-0.79,16737.0,14415105.7
866.0,867.0,849.9,854.0,-0.49,13948.0,11912600.8
854.0,860.0,846.8,846.8,-0.84,9328.0,7918186.6
847.0,854.0,840.0,847.8,0.12,11650.0,9885966.2
848.0,858.0,842.0,845.0,-0.33,11455.0,9693058.8
849.9,850.0,840.0,847.6,0.31,15889.0,13400392.7
850.0,850.0,840.0,840.1,-0.88,20723.0,17448203.8
836.0,848.0,836.0,839.0,-0.13,17835.0,15013633.1
842.0,843.0,836.2,838.0,-0.12,13426.0,11270222.0
850.0,850.0,832.0,839.0,0.12,15261.0,12787590.1
839.0,840.0,833.5,833.6,-0.64,14947.0,12497558.9
850.0,850.0,833.0,840.0,0.77,8488.0,7116861.3
856.8,856.8,839.9,845.0,0.6,13314.0,11223162.2
838.0,853.8,833.0,834.0,-1.3,17949.0,15009699.3
848.8,848.8,830.0,836.0,0.24,10311.0,8604460.9
844.8,844.8,825.0,832.0,-0.48,20137.0,16741929.1
